name,ring,quadrant,isNew,description
Mikrotjenester,Adopt,Techniques,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
RuleSpeak,Adopt,Techniques,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
Docker/Docker-compose,Adopt,Platforms,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
Cloud Native,Adopt,Platforms,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
Kubernetes,Adopt,Platforms,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
OpenShift,Trial,Platforms,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
Azure,Trial,Platforms,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
Google Cloud Platform,Trial,Platforms,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
Blaze Advisor,Adopt,Platforms,FALSE,"<p><strong><a href=""https://www.fico.com/en/products/fico-blaze-advisor-decision-rules-management-system"">Blaze Advisor</a><</strong></p>"
Sparkling Logic SMARTS,Adopt,Platforms,FALSE,"<p><strong><a href=""https://www.sparklinglogic.com/smarts-decision-manager/"">SMARTS Decision Manager</a><</strong></p>"
IntelliJ,Adopt,Tools,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
VisualCode,Assess,Tools,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
jq/xq/yq,Assess,Tools,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
Java,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
Kotlin,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
Javascript,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
Python,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""http://www.rulespeak.com/no/"">RuleSpeak</a><</strong></p>"
Spring Boot,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""https://spring.io/projects/spring-boot"">Spring Boot</a><</strong>Brukes i NAV</p>"
